id,sku,name,slug,category,brand,price_vnd,original_price_vnd,discount_percent,stock,rating,review_count,warranty_months,image_url,description,specs_json,is_featured,status,created_at,data_note
11,TCH-PHN-0011,Xiaomi Redmi Note 14 SE,xiaomi-redmi-note-14-se-011,Điện thoại,Xiaomi,7990000,8410000,5,80,4.0,696,18,https://placehold.co/600x600?text=PHN+011,"Xiaomi Redmi Note 14 SE thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.5 inch AMOLED"", ""storage"": ""256GB"", ""ram"": ""12GB"", ""battery"": ""5000mAh""}",False,active,2026-05-16,Mock data generated for demo; not real inventory
12,TCH-PHN-0012,OPPO Reno 13F Plus,oppo-reno-13f-plus-012,Điện thoại,OPPO,26190000,26190000,0,87,4.7,698,24,https://placehold.co/600x600?text=PHN+012,"OPPO Reno 13F Plus thuộc nhóm điện thoại, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""6.7 inch AMOLED 120Hz"", ""storage"": ""256GB"", ""ram"": ""6GB"", ""battery"": ""5000mAh""}",False,active,2026-04-22,Mock data generated for demo; not real inventory
13,TCH-LAP-0013,Dell Inspiron 15 2025,dell-inspiron-15-2025-013,Laptop,Dell,27590000,27590000,0,92,4.9,269,36,https://placehold.co/600x600?text=LAP+013,"Dell Inspiron 15 2025 thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Apple M3"", ""ram"": ""8GB"", ""storage"": ""1TB SSD"", ""screen"": ""16 inch 2.5K""}",False,active,2026-05-10,Mock data generated for demo; not real inventory
14,TCH-LAP-0014,HP Pavilion 14 Max,hp-pavilion-14-max-014,Laptop,HP,17190000,18090000,5,47,4.7,552,36,https://placehold.co/600x600?text=LAP+014,"HP Pavilion 14 Max thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Apple M3"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""screen"": ""14 inch FHD""}",False,active,2026-01-29,Mock data generated for demo; not real inventory
15,TCH-LAP-0015,Lenovo IdeaPad Slim 5 Plus,lenovo-ideapad-slim-5-plus-015,Laptop,Lenovo,44990000,49990000,10,30,3.9,580,12,https://placehold.co/600x600?text=LAP+015,"Lenovo IdeaPad Slim 5 Plus thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""AMD Ryzen 7"", ""ram"": ""8GB"", ""storage"": ""512GB SSD"", ""screen"": ""14 inch FHD""}",True,active,2026-05-02,Mock data generated for demo; not real inventory
16,TCH-LAP-0016,ASUS Vivobook 15 Max,asus-vivobook-15-max-016,Laptop,ASUS,15790000,17540000,10,67,4.8,433,12,https://placehold.co/600x600?text=LAP+016,"ASUS Vivobook 15 Max thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Intel Core i7"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""screen"": ""15.6 inch FHD""}",False,active,2026-04-06,Mock data generated for demo; not real inventory
17,TCH-LAP-0017,Acer Aspire 5 Pro,acer-aspire-5-pro-017,Laptop,Acer,45890000,57360000,20,15,4.1,65,24,https://placehold.co/600x600?text=LAP+017,"Acer Aspire 5 Pro thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Apple M3"", ""ram"": ""8GB"", ""storage"": ""512GB SSD"", ""screen"": ""14 inch FHD""}",True,active,2026-01-19,Mock data generated for demo; not real inventory
18,TCH-LAP-0018,MSI Modern 14 Lite,msi-modern-14-lite-018,Laptop,MSI,34890000,34890000,0,29,3.9,32,24,https://placehold.co/600x600?text=LAP+018,"MSI Modern 14 Lite thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Intel Core i7"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""screen"": ""14 inch FHD""}",True,active,2026-05-19,Mock data generated for demo; not real inventory
19,TCH-LAP-0019,Apple MacBook Air M3 2025,apple-macbook-air-m3-2025-019,Laptop,Apple,38690000,48360000,20,31,4.7,826,24,https://placehold.co/600x600?text=LAP+019,"Apple MacBook Air M3 2025 thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Intel Core i5"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""screen"": ""15.6 inch FHD""}",False,active,2026-04-19,Mock data generated for demo; not real inventory
20,TCH-LAP-0020,Gigabyte G5 Gaming Pro,gigabyte-g5-gaming-pro-020,Laptop,Gigabyte,28190000,28190000,0,86,4.6,661,12,https://placehold.co/600x600?text=LAP+020,"Gigabyte G5 Gaming Pro thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""AMD Ryzen 5"", ""ram"": ""8GB"", ""storage"": ""512GB SSD"", ""screen"": ""14 inch FHD""}",True,active,2026-02-18,Mock data generated for demo; not real inventory
21,TCH-LAP-0021,Dell Inspiron 15 Max,dell-inspiron-15-max-021,Laptop,Dell,27390000,28830000,5,54,4.0,473,12,https://placehold.co/600x600?text=LAP+021,"Dell Inspiron 15 Max thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Intel Core i5"", ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""screen"": ""14 inch FHD""}",False,active,2026-05-19,Mock data generated for demo; not real inventory
22,TCH-LAP-0022,HP Pavilion 14 SE,hp-pavilion-14-se-022,Laptop,HP,9590000,9590000,0,118,4.7,242,12,https://placehold.co/600x600?text=LAP+022,"HP Pavilion 14 SE thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""AMD Ryzen 7"", ""ram"": ""8GB"", ""storage"": ""1TB SSD"", ""screen"": ""14 inch FHD""}",False,active,2026-02-12,Mock data generated for demo; not real inventory
23,TCH-LAP-0023,Lenovo IdeaPad Slim 5 Pro,lenovo-ideapad-slim-5-pro-023,Laptop,Lenovo,9090000,10690000,15,33,4.9,803,24,https://placehold.co/600x600?text=LAP+023,"Lenovo IdeaPad Slim 5 Pro thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Apple M3"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""screen"": ""14 inch FHD""}",False,active,2026-02-18,Mock data generated for demo; not real inventory
24,TCH-LAP-0024,ASUS Vivobook 15 Plus,asus-vivobook-15-plus-024,Laptop,ASUS,17990000,17990000,0,74,4.7,62,36,https://placehold.co/600x600?text=LAP+024,"ASUS Vivobook 15 Plus thuộc nhóm laptop, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""cpu"": ""Intel Core i5"", ""ram"": ""32GB"", ""storage"": ""1TB SSD"", ""screen"": ""16 inch 2.5K""}",False,active,2026-05-16,Mock data generated for demo; not real inventory
25,TCH-TAB-0025,Apple iPad Gen 10 2025,apple-ipad-gen-10-2025-025,Máy tính bảng,Apple,6390000,6390000,0,108,4.0,609,12,https://placehold.co/600x600?text=TAB+025,"Apple iPad Gen 10 2025 thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""10.9 inch"", ""storage"": ""128GB"", ""wifi"": ""WiFi""}",False,active,2026-05-26,Mock data generated for demo; not real inventory
26,TCH-TAB-0026,Samsung Galaxy Tab S9 FE 2025,samsung-galaxy-tab-s9-fe-2025-026,Máy tính bảng,Samsung,5690000,5690000,0,53,4.6,578,24,https://placehold.co/600x600?text=TAB+026,"Samsung Galaxy Tab S9 FE 2025 thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""10.9 inch"", ""storage"": ""256GB"", ""wifi"": ""WiFi + 5G""}",False,active,2026-03-03,Mock data generated for demo; not real inventory
27,TCH-TAB-0027,Lenovo Tab M11 Plus,lenovo-tab-m11-plus-027,Máy tính bảng,Lenovo,20290000,21360000,5,85,4.6,468,24,https://placehold.co/600x600?text=TAB+027,"Lenovo Tab M11 Plus thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""10.9 inch"", ""storage"": ""64GB"", ""wifi"": ""WiFi + 5G""}",False,active,2026-05-25,Mock data generated for demo; not real inventory
28,TCH-TAB-0028,Xiaomi Pad 6,xiaomi-pad-6-028,Máy tính bảng,Xiaomi,6990000,7520000,7,64,4.1,357,12,https://placehold.co/600x600?text=TAB+028,"Xiaomi Pad 6 thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""11 inch"", ""storage"": ""128GB"", ""wifi"": ""WiFi""}",False,active,2026-04-23,Mock data generated for demo; not real inventory
29,TCH-TAB-0029,Huawei MatePad 11.5 SE,huawei-matepad-11-5-se-029,Máy tính bảng,Huawei,16390000,16390000,0,85,4.8,306,12,https://placehold.co/600x600?text=TAB+029,"Huawei MatePad 11.5 SE thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""10.9 inch"", ""storage"": ""128GB"", ""wifi"": ""WiFi""}",False,active,2026-01-28,Mock data generated for demo; not real inventory
30,TCH-TAB-0030,Apple iPad Gen 10 Lite,apple-ipad-gen-10-lite-030,Máy tính bảng,Apple,10390000,11540000,10,36,4.5,734,24,https://placehold.co/600x600?text=TAB+030,"Apple iPad Gen 10 Lite thuộc nhóm máy tính bảng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""screen"": ""12.4 inch"", ""storage"": ""128GB"", ""wifi"": ""WiFi + 5G""}",False,active,2026-03-06,Mock data generated for demo; not real inventory
31,TCH-EAR-0031,Sony WH-CH720N SE,sony-wh-ch720n-se-031,Tai nghe,Sony,819000,819000,0,81,4.3,283,6,https://placehold.co/600x600?text=EAR+031,"Sony WH-CH720N SE thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""True Wireless"", ""noise_canceling"": ""Không"", ""battery"": ""20 giờ""}",True,active,2026-04-24,Mock data generated for demo; not real inventory
32,TCH-EAR-0032,JBL Tune Flex Max,jbl-tune-flex-max-032,Tai nghe,JBL,7590000,8930000,15,71,3.8,77,24,https://placehold.co/600x600?text=EAR+032,"JBL Tune Flex Max thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""In-ear"", ""noise_canceling"": ""Có"", ""battery"": ""30 giờ""}",False,active,2026-05-30,Mock data generated for demo; not real inventory
33,TCH-EAR-0033,Samsung Galaxy Buds FE Max,samsung-galaxy-buds-fe-max-033,Tai nghe,Samsung,1890000,2220000,15,16,3.9,373,6,https://placehold.co/600x600?text=EAR+033,"Samsung Galaxy Buds FE Max thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""True Wireless"", ""noise_canceling"": ""Có"", ""battery"": ""40 giờ""}",False,active,2026-01-27,Mock data generated for demo; not real inventory
34,TCH-EAR-0034,Apple AirPods 4 Plus,apple-airpods-4-plus-034,Tai nghe,Apple,8290000,9750000,15,79,4.7,242,6,https://placehold.co/600x600?text=EAR+034,"Apple AirPods 4 Plus thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""True Wireless"", ""noise_canceling"": ""Không"", ""battery"": ""20 giờ""}",False,active,2026-02-15,Mock data generated for demo; not real inventory
35,TCH-EAR-0035,Soundcore Liberty 4 NC Lite,soundcore-liberty-4-nc-lite-035,Tai nghe,Soundcore,3690000,4340000,15,102,4.6,752,6,https://placehold.co/600x600?text=EAR+035,"Soundcore Liberty 4 NC Lite thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""In-ear"", ""noise_canceling"": ""Có"", ""battery"": ""30 giờ""}",False,active,2026-01-10,Mock data generated for demo; not real inventory
36,TCH-EAR-0036,Baseus Bowie MA10 SE,baseus-bowie-ma10-se-036,Tai nghe,Baseus,5190000,5580000,7,25,4.8,471,12,https://placehold.co/600x600?text=EAR+036,"Baseus Bowie MA10 SE thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""True Wireless"", ""noise_canceling"": ""Có"", ""battery"": ""20 giờ""}",False,active,2026-02-19,Mock data generated for demo; not real inventory
37,TCH-EAR-0037,Xiaomi Redmi Buds 5 Pro,xiaomi-redmi-buds-5-pro-037,Tai nghe,Xiaomi,3690000,4100000,10,110,3.9,791,12,https://placehold.co/600x600?text=EAR+037,"Xiaomi Redmi Buds 5 Pro thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""In-ear"", ""noise_canceling"": ""Không"", ""battery"": ""40 giờ""}",False,active,2026-05-18,Mock data generated for demo; not real inventory
38,TCH-EAR-0038,Marshall Minor IV Plus,marshall-minor-iv-plus-038,Tai nghe,Marshall,579000,579000,0,112,5.0,182,24,https://placehold.co/600x600?text=EAR+038,"Marshall Minor IV Plus thuộc nhóm tai nghe, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""type"": ""Over-ear"", ""noise_canceling"": ""Có"", ""battery"": ""20 giờ""}",False,active,2026-04-22,Mock data generated for demo; not real inventory
39,TCH-CHG-0039,Anker Nano II 65W Plus,anker-nano-ii-65w-plus-039,Củ sạc,Anker,949000,1120000,15,77,5.0,118,24,https://placehold.co/600x600?text=CHG+039,"Anker Nano II 65W Plus thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""25W"", ""ports"": ""2 USB-C"", ""technology"": ""GaN""}",False,active,2026-04-22,Mock data generated for demo; not real inventory
40,TCH-CHG-0040,Baseus GaN5 Pro 65W,baseus-gan5-pro-65w-040,Củ sạc,Baseus,1490000,1600000,7,46,4.3,680,18,https://placehold.co/600x600?text=CHG+040,"Baseus GaN5 Pro 65W thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""100W"", ""ports"": ""1 USB-C"", ""technology"": ""QC 3.0""}",False,active,2026-03-18,Mock data generated for demo; not real inventory
41,TCH-CHG-0041,Ugreen Nexode 45W Max,ugreen-nexode-45w-max-041,Củ sạc,Ugreen,939000,1100000,15,41,4.3,302,12,https://placehold.co/600x600?text=CHG+041,"Ugreen Nexode 45W Max thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""100W"", ""ports"": ""2 USB-C"", ""technology"": ""QC 3.0""}",False,active,2026-02-14,Mock data generated for demo; not real inventory
42,TCH-CHG-0042,Samsung Super Fast 25W Max,samsung-super-fast-25w-max-042,Củ sạc,Samsung,1590000,1770000,10,51,4.5,0,18,https://placehold.co/600x600?text=CHG+042,"Samsung Super Fast 25W Max thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""45W"", ""ports"": ""2C + 1A"", ""technology"": ""QC 3.0""}",False,active,2026-03-24,Mock data generated for demo; not real inventory
43,TCH-CHG-0043,Apple USB-C 20W Pro,apple-usb-c-20w-pro-043,Củ sạc,Apple,1290000,1610000,20,86,4.1,484,12,https://placehold.co/600x600?text=CHG+043,"Apple USB-C 20W Pro thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""33W"", ""ports"": ""2C + 1A"", ""technology"": ""QC 3.0""}",False,active,2026-03-27,Mock data generated for demo; not real inventory
44,TCH-CHG-0044,Xiaomi GaN 33W,xiaomi-gan-33w-044,Củ sạc,Xiaomi,749000,830000,10,28,4.8,150,6,https://placehold.co/600x600?text=CHG+044,"Xiaomi GaN 33W thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""45W"", ""ports"": ""2C + 1A"", ""technology"": ""GaN""}",True,active,2026-04-27,Mock data generated for demo; not real inventory
45,TCH-CHG-0045,Aukey Omnia 100W Pro,aukey-omnia-100w-pro-045,Củ sạc,Aukey,1790000,1920000,7,91,4.6,506,24,https://placehold.co/600x600?text=CHG+045,"Aukey Omnia 100W Pro thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""100W"", ""ports"": ""2C + 1A"", ""technology"": ""GaN""}",False,active,2026-01-28,Mock data generated for demo; not real inventory
46,TCH-CHG-0046,Anker Nano II 65W SE,anker-nano-ii-65w-se-046,Củ sạc,Anker,1290000,1390000,7,22,4.8,712,24,https://placehold.co/600x600?text=CHG+046,"Anker Nano II 65W SE thuộc nhóm củ sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""power"": ""25W"", ""ports"": ""1 USB-C"", ""technology"": ""PD""}",True,active,2026-02-04,Mock data generated for demo; not real inventory
47,TCH-CAB-0047,Anker USB-C to C 100W SE,anker-usb-c-to-c-100w-se-047,Cáp sạc,Anker,659000,750000,12,96,4.9,627,24,https://placehold.co/600x600?text=CAB+047,"Anker USB-C to C 100W SE thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""2m"", ""connector"": ""USB-C to Lightning"", ""power"": ""60W""}",False,active,2026-05-02,Mock data generated for demo; not real inventory
48,TCH-CAB-0048,Baseus Type-C 2m Pro,baseus-type-c-2m-pro-048,Cáp sạc,Baseus,399000,430000,7,107,4.6,784,24,https://placehold.co/600x600?text=CAB+048,"Baseus Type-C 2m Pro thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""1.5m"", ""connector"": ""USB-C to Lightning"", ""power"": ""60W""}",False,active,2026-03-15,Mock data generated for demo; not real inventory
49,TCH-CAB-0049,Ugreen Lightning 1m 2025,ugreen-lightning-1m-2025-049,Cáp sạc,Ugreen,409000,460000,12,40,4.9,82,6,https://placehold.co/600x600?text=CAB+049,"Ugreen Lightning 1m 2025 thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""1.5m"", ""connector"": ""USB-A to C"", ""power"": ""60W""}",True,active,2026-02-24,Mock data generated for demo; not real inventory
50,TCH-CAB-0050,Apple USB-C to Lightning,apple-usb-c-to-lightning-050,Cáp sạc,Apple,599000,700000,15,42,4.5,425,3,https://placehold.co/600x600?text=CAB+050,"Apple USB-C to Lightning thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""1.5m"", ""connector"": ""USB-C to Lightning"", ""power"": ""240W""}",False,active,2026-01-06,Mock data generated for demo; not real inventory
51,TCH-CAB-0051,Samsung Braided Cable 60W SE,samsung-braided-cable-60w-se-051,Cáp sạc,Samsung,799000,940000,15,61,3.8,360,12,https://placehold.co/600x600?text=CAB+051,"Samsung Braided Cable 60W SE thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""1.5m"", ""connector"": ""USB-A to C"", ""power"": ""240W""}",False,active,2026-05-20,Mock data generated for demo; not real inventory
52,TCH-CAB-0052,Belkin BoostCharge Cable SE,belkin-boostcharge-cable-se-052,Cáp sạc,Belkin,349000,440000,20,28,4.1,497,3,https://placehold.co/600x600?text=CAB+052,"Belkin BoostCharge Cable SE thuộc nhóm cáp sạc, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""length"": ""2m"", ""connector"": ""USB-A to C"", ""power"": ""100W""}",False,active,2026-02-12,Mock data generated for demo; not real inventory
53,TCH-PWR-0053,Anker PowerCore 10000 SE,anker-powercore-10000-se-053,Pin sạc dự phòng,Anker,1490000,1570000,5,79,4.4,403,6,https://placehold.co/600x600?text=PWR+053,"Anker PowerCore 10000 SE thuộc nhóm pin sạc dự phòng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""capacity"": ""20000mAh"", ""fast_charge"": ""22.5W"", ""ports"": ""3 cổng""}",True,active,2026-02-16,Mock data generated for demo; not real inventory
54,TCH-PWR-0054,Baseus Blade 20000mAh,baseus-blade-20000mah-054,Pin sạc dự phòng,Baseus,959000,1130000,15,41,4.1,334,18,https://placehold.co/600x600?text=PWR+054,"Baseus Blade 20000mAh thuộc nhóm pin sạc dự phòng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""capacity"": ""20000mAh"", ""fast_charge"": ""30W"", ""ports"": ""3 cổng""}",False,active,2026-03-06,Mock data generated for demo; not real inventory
55,TCH-PWR-0055,Xiaomi Mi Power Bank 20000 SE,xiaomi-mi-power-bank-20000-se-055,Pin sạc dự phòng,Xiaomi,499000,620000,20,2,4.7,53,18,https://placehold.co/600x600?text=PWR+055,"Xiaomi Mi Power Bank 20000 SE thuộc nhóm pin sạc dự phòng, phù hợp cho nhu cầu học tập, làm việc và giải trí trong website demo bán hàng công nghệ.","{""capacity"": ""10000mAh"", ""fast_charge"": ""18W"", ""ports"": ""2 cổng""}",False,active,2026-03-05,Mock data generated for demo; not real inventory
